Plataforma,Ventas_europeas,Calificacion_critica
WiiU,2150000.0,88.0
WiiU,1340000.0,84.0
WiiU,1180000.0,81.0
WiiU,1110000.0,77.0
WiiU,1160000.0,93.0
WiiU,890000.0,88.0
WiiU,620000.0,77.0
WiiU,560000.0,65.0
WiiU,530000.0,66.0
WiiU,550000.0,83.0
WiiU,470000.0,78.0
WiiU,420000.0,76.0
WiiU,380000.0,81.0
WiiU,320000.0,87.0
WiiU,420000.0,80.0
WiiU,300000.0,86.0
WiiU,360000.0,77.0
WiiU,260000.0,76.0
WiiU,230000.0,72.0
WiiU,280000.0,84.0
WiiU,280000.0,91.0
WiiU,350000.0,82.0
WiiU,290000.0,75.0
WiiU,260000.0,86.0
WiiU,330000.0,92.0
WiiU,230000.0,68.0
WiiU,220000.0,71.0
WiiU,230000.0,72.0
WiiU,150000.0,89.0
WiiU,250000.0,73.0
WiiU,180000.0,62.0
WiiU,190000.0,71.0
WiiU,130000.0,73.0
WiiU,190000.0,87.0
WiiU,270000.0,69.0
WiiU,150000.0,58.0
WiiU,140000.0,75.0
WiiU,110000.0,46.0
WiiU,180000.0,81.0
WiiU,100000.0,78.0
WiiU,120000.0,63.0
WiiU,140000.0,68.0
WiiU,120000.0,80.0
WiiU,130000.0,66.0
WiiU,90000.0,73.0
WiiU,100000.0,69.0
WiiU,120000.0,31.0
WiiU,130000.0,85.0
WiiU,90000.0,69.0
WiiU,90000.0,68.0
WiiU,90000.0,32.0
WiiU,90000.0,86.0
WiiU,120000.0,60.0
WiiU,100000.0,69.0
WiiU,70000.0,57.0
WiiU,40000.0,51.0
WiiU,50000.0,84.0
WiiU,80000.0,82.0
WiiU,70000.0,80.0
WiiU,80000.0,76.0
WiiU,70000.0,85.0
WiiU,70000.0,74.0
WiiU,70000.0,76.0
WiiU,50000.0,62.0
WiiU,30000.0,24.0
WiiU,40000.0,85.0
WiiU,20000.0,45.0
WiiU,40000.0,50.0
WiiU,70000.0,75.0
WiiU,60000.0,77.0
WiiU,30000.0,67.0
WiiU,40000.0,88.0
WiiU,30000.0,42.0
WiiU,50000.0,47.0
WiiU,20000.0,64.0
WiiU,40000.0,66.0
WiiU,20000.0,43.0
WiiU,10000.0,58.0
WiiU,10000.0,52.0
WiiU,10000.0,48.0
WiiU,20000.0,58.0
WiiU,10000.0,67.0
WiiU,10000.0,81.0
